address,property_status,sale_amount,sale_date,multi_lot_sale
"28 BEACH ST, COTTESLOE",Non Strata,387000,1992-01-05,N
"26 BEACH ST, COTTESLOE",Non Strata,380000,1989-11-06,N
"24 BEACH ST, COTTESLOE",Non Strata,1800000,2018-05-17,N
"38 BEACH ST, COTTESLOE",Non Strata,1800000,2020-08-22,N
"36 BEACH ST, COTTESLOE",Non Strata,3012000,2022-04-20,N
"31 BEACH ST, COTTESLOE",Non Strata,2450000,2010-04-24,N
"29 BEACH ST, COTTESLOE",Non Strata,1130000,2003-04-23,N
"4 BROOME ST, COTTESLOE",Non Strata,1635000,2019-11-08,N
"2 BROOME ST, COTTESLOE",Vacant,1300000,2021-02-02,N
"6 BROOME ST, COTTESLOE",Non Strata,310000,1998-03-27,N
"10 BROOME ST, COTTESLOE",Non Strata,1330000,2015-07-02,N
"14 BROOME ST, COTTESLOE",Non Strata,1500000,2011-07-01,N
"67 CURTIN AV, COTTESLOE",Non Strata,925000,2012-01-20,N
"15 BROOME ST, COTTESLOE",Non Strata,995000,2004-02-24,N
"23 PRINCES ST, COTTESLOE",Non Strata,2550000,2020-09-21,N
"31 PRINCES ST, COTTESLOE",Non Strata,1225000,2009-09-17,N
"17 A BROOME ST, COTTESLOE",Strata,1500000,2013-06-10,N
"17 BROOME ST, COTTESLOE",Non Strata,2925000,2023-02-01,N
"16 BROOME ST, COTTESLOE",Non Strata,1600000,2012-09-21,N
"71 CURTIN AV, COTTESLOE",Non Strata,1330000,2008-05-01,N
"26 PRINCES ST, COTTESLOE",Strata,2125000,2017-12-03,N
"77 CURTIN AV, COTTESLOE",Non Strata,1260000,2015-12-09,Y
"79 CURTIN AV, COTTESLOE",Non Strata,930000,2009-07-02,N
"14 B BROOME ST, COTTESLOE",Strata,2450000,2016-12-23,N
"73 CURTIN AV, COTTESLOE",Non Strata,1500000,2020-09-27,N
"77 CURTIN AV, COTTESLOE",Non Strata,1260000,2015-12-09,Y
"81 CURTIN AV, COTTESLOE",Non Strata,320000,1998-01-08,N
"37 SALVADO ST, COTTESLOE",Non Strata,435000,2000-09-02,N
"85 CURTIN AV, COTTESLOE",Non Strata,750000,2004-05-24,N
"39 SALVADO ST, COTTESLOE",Vacant,780000,2016-11-18,N
"41 SALVADO ST, COTTESLOE",Strata,1350000,2019-10-31,N
"39 SALVADO ST, COTTESLOE",Non Strata,1545000,2014-05-24,N
"43 SALVADO ST, COTTESLOE",Vacant,675000,2017-05-25,N
"87 CURTIN AV, COTTESLOE",Non Strata,1400000,2014-03-09,N
"91 CURTIN AV, COTTESLOE",Non Strata,215000,1993-12-31,N
"2 GEORGE ST, COTTESLOE",Non Strata,1300000,2016-10-24,N
"36 SALVADO ST, COTTESLOE",Non Strata,1172000,2018-04-15,N
"34 SALVADO ST, COTTESLOE",Non Strata,761000,2004-10-20,N
"20 BROOME ST, COTTESLOE",Vacant,230000,1992-10-03,N
"33 SALVADO ST, COTTESLOE",Non Strata,1900000,2018-01-08,N
"31 SALVADO ST, COTTESLOE",Non Strata,1650000,2020-07-25,N
"18 BROOME ST, COTTESLOE",Non Strata,3600000,2021-12-29,N
"35 SALVADO ST, COTTESLOE",Non Strata,1630000,2020-08-21,N
"21 B SALVADO ST, COTTESLOE",Non Strata,2800000,2010-06-30,N
"23 B SALVADO ST, COTTESLOE",Strata,985000,2012-03-11,N
"1/19 BROOME ST, COTTESLOE",Strata,765000,2023-08-19,N
"23 SALVADO ST, COTTESLOE",Strata,515000,2000-10-10,N
"23 A SALVADO ST, COTTESLOE",Strata,600000,2005-03-31,N
"18 A PRINCES ST, COTTESLOE",Vacant,370000,1997-10-01,N
"21 C SALVADO ST, COTTESLOE",Non Strata,3140000,2010-09-28,N
"21 A SALVADO ST, COTTESLOE",Non Strata,2650000,2008-04-17,N
"19 A SALVADO ST, COTTESLOE",Strata,12000,2003-02-21,N
"2/10 AVONMORE TCE, COTTESLOE",Strata,1250000,2017-05-02,N
"19 C SALVADO ST, COTTESLOE",Strata,11000,2003-02-21,N
"18 PRINCES ST, COTTESLOE",Non Strata,800000,2001-12-01,N
"16 C PRINCES ST, COTTESLOE",Non Strata,1680000,2013-12-15,Y
"1/8 AVONMORE TCE, COTTESLOE",Non Strata,560000,1998-04-02,Y
"1/24 SALVADO ST, COTTESLOE",Strata,875000,2012-01-13,N
"21 BROOME ST, COTTESLOE",Non Strata,2500000,2016-06-24,N
"28 SALVADO ST, COTTESLOE",Non Strata,2740000,2015-09-08,N
"23 BROOME ST, COTTESLOE",Non Strata,2200000,2017-12-16,N
"26 SALVADO ST, COTTESLOE",Non Strata,4050000,2019-04-05,N
"25 BROOME ST, COTTESLOE",Non Strata,1975000,2012-04-03,N
"27 BROOME ST, COTTESLOE",Non Strata,438000,1997-06-12,N
"19 A ROSENDO ST, COTTESLOE",Non Strata,780000,2001-07-21,N
"17 ROSENDO ST, COTTESLOE",Non Strata,410000,1993-02-14,N
"2/16 AVONMORE TCE, COTTESLOE",Strata,2800000,1999-04-12,Y
"6/16 AVONMORE TCE, COTTESLOE",Strata,2800000,1999-04-12,Y
"5/16 AVONMORE TCE, COTTESLOE",Strata,2800000,1999-04-12,Y
"3/16 AVONMORE TCE, COTTESLOE",Strata,2800000,1999-04-12,Y
"1/13 ROSENDO ST, COTTESLOE",Strata,811000,2015-04-11,N
"15 ROSENDO ST, COTTESLOE",Non Strata,3725000,2011-11-18,N
"11/16 AVONMORE TCE, COTTESLOE",Strata,2800000,1999-04-12,Y
"10/16 AVONMORE TCE, COTTESLOE",Strata,2800000,1999-04-12,Y
"9/16 AVONMORE TCE, COTTESLOE",Strata,2800000,1999-04-12,Y
"1/16 AVONMORE TCE, COTTESLOE",Strata,2800000,1999-04-12,Y
"7/16 AVONMORE TCE, COTTESLOE",Strata,2800000,1999-04-12,Y
"8/16 AVONMORE TCE, COTTESLOE",Strata,2800000,1999-04-12,Y
"4/16 AVONMORE TCE, COTTESLOE",Strata,2800000,1999-04-12,Y
"23 ROSENDO ST, COTTESLOE",Non Strata,1200000,2012-01-05,N
"25 ROSENDO ST, COTTESLOE",Non Strata,977500,2004-04-06,N
"20 B ROSENDO ST, COTTESLOE",Strata,3550000,2020-09-19,Y
"20 A ROSENDO ST, COTTESLOE",Strata,3550000,2020-09-19,Y
"28 ROSENDO ST, COTTESLOE",Strata,1250000,2016-02-29,N
"1 B REGINALD ST, COTTESLOE",Vacant,1290000,2016-10-27,N
"34 A BROOME ST, COTTESLOE",Non Strata,2350000,2021-09-25,N
"29 BROOME ST, COTTESLOE",Non Strata,1625000,2015-05-03,N
"27 ROSENDO ST, COTTESLOE",Non Strata,2025000,2008-05-07,N
"31 BROOME ST, COTTESLOE",Non Strata,2075000,2018-04-03,N
"30 A SALVADO ST, COTTESLOE",Non Strata,4150000,2022-07-01,Y
"30 B SALVADO ST, COTTESLOE",Non Strata,4150000,2022-07-01,Y
"30 SALVADO ST, COTTESLOE",Non Strata,4150000,2022-07-01,Y
"32 SALVADO ST, COTTESLOE",Non Strata,1340000,2007-07-18,N
"26 BROOME ST, COTTESLOE",Non Strata,2675000,2014-11-29,N
"32 BROOME ST, COTTESLOE",Non Strata,575000,1999-05-06,N
"28 BROOME ST, COTTESLOE",Non Strata,1670000,2013-11-16,N
"30 BROOME ST, COTTESLOE",Non Strata,2850000,2016-11-10,N
"1 GEORGE ST, COTTESLOE",Non Strata,960000,2016-03-24,N
"3 GEORGE ST, COTTESLOE",Non Strata,3300000,2017-09-12,N
"2 A GEORGE ST, COTTESLOE",Non Strata,1690000,2019-06-07,N
"4 GEORGE ST, COTTESLOE",Non Strata,1320000,2018-06-08,N
"6 GEORGE ST, COTTESLOE",Non Strata,1600000,2020-10-24,N
"8 GEORGE ST, COTTESLOE",Non Strata,1212000,2004-08-19,N
"9 GEORGE ST, COTTESLOE",Non Strata,2900000,2022-02-07,N
"5 REGINALD ST, COTTESLOE",Non Strata,2300000,2012-02-14,N
"3 REGINALD ST, COTTESLOE",Non Strata,920000,2002-02-05,N
"1 REGINALD ST, COTTESLOE",Non Strata,2150000,2016-09-21,N
"12 GEORGE ST, COTTESLOE",Non Strata,585000,2001-12-08,N
"10 GEORGE ST, COTTESLOE",Non Strata,1885000,2012-09-27,N
"14 GEORGE ST, COTTESLOE",Non Strata,2320000,2015-08-18,N
"17 REGINALD ST, COTTESLOE",Non Strata,455000,1998-09-18,N
"19 REGINALD ST, COTTESLOE",Non Strata,520000,2003-06-23,N
"111 CURTIN AV, COTTESLOE",Non Strata,220000,1996-10-10,N
"107 CURTIN AV, COTTESLOE",Non Strata,445000,2003-03-13,N
"109 CURTIN AV, COTTESLOE",Non Strata,1175000,2012-07-27,N
"103 CURTIN AV, COTTESLOE",Non Strata,165000,1991-11-28,Y
"105 CURTIN AV, COTTESLOE",Non Strata,879000,2005-12-11,N
"101 CURTIN AV, COTTESLOE",Non Strata,1225000,2010-02-18,N
"103 CURTIN AV, COTTESLOE",Non Strata,322000,1998-04-09,Y
"101 CURTIN AV, COTTESLOE",Non Strata,1225000,2010-02-18,N
"22 REGINALD ST, COTTESLOE",Non Strata,650000,2002-11-07,Y
"115 CURTIN AV, COTTESLOE",Non Strata,650000,2002-11-07,Y
"117 A CURTIN AV, COTTESLOE",Non Strata,935000,2012-08-11,N
"117 CURTIN AV, COTTESLOE",Non Strata,1000000,2016-03-01,N
"18 REGINALD ST, COTTESLOE",Non Strata,3825000,2022-06-07,N
"13 LILLIAN ST, COTTESLOE",Non Strata,3950000,2022-12-12,N
"15 LILLIAN ST, COTTESLOE",Non Strata,1930000,2012-03-09,N
"16 REGINALD ST, COTTESLOE",Non Strata,2300000,2020-09-12,N
"19 LILLIAN ST, COTTESLOE",Non Strata,1525000,2005-03-06,N
"20 REGINALD ST, COTTESLOE",Non Strata,2850000,2023-08-06,N
"121 CURTIN AV, COTTESLOE",Non Strata,340000,2000-12-23,N
"119 CURTIN AV, COTTESLOE",Non Strata,1350000,2018-05-31,N
"21 LILLIAN ST, COTTESLOE",Non Strata,2050000,2011-09-09,N
"23 LILLIAN ST, COTTESLOE",Non Strata,1620000,2020-06-28,N
"129 CURTIN AV, COTTESLOE",Non Strata,1300000,2005-09-08,N
"127 CURTIN AV, COTTESLOE",Non Strata,1495000,2013-05-04,N
"28 LILLIAN ST, COTTESLOE",Non Strata,1325000,2006-05-24,N
"14 A LILLIAN ST, COTTESLOE",Non Strata,1950000,2016-11-27,N
"57 PEARSE ST, COTTESLOE",Non Strata,1250000,2013-05-27,N
"55 PEARSE ST, COTTESLOE",Vacant,420000,1999-02-19,N
"53 PEARSE ST, COTTESLOE",Non Strata,2730000,2008-07-04,N
"24 LILLIAN ST, COTTESLOE",Non Strata,2350000,2017-08-30,N
"26 LILLIAN ST, COTTESLOE",Non Strata,3600000,2022-03-12,N
"22 LILLIAN ST, COTTESLOE",Non Strata,1700000,2020-10-07,N
"49 PEARSE ST, COTTESLOE",Non Strata,622000,2001-02-15,N
"20 A LILLIAN ST, COTTESLOE",Non Strata,1350000,2015-04-09,N
"20 LILLIAN ST, COTTESLOE",Non Strata,1850000,2017-02-14,N
"43 PEARSE ST, COTTESLOE",Non Strata,680000,1996-07-18,N
"16 LILLIAN ST, COTTESLOE",Non Strata,605000,1997-06-06,Y
"18 LILLIAN ST, COTTESLOE",Non Strata,605000,1997-06-06,Y
"47 PEARSE ST, COTTESLOE",Non Strata,2375000,2021-08-14,N
"45 PEARSE ST, COTTESLOE",Non Strata,1910000,2018-01-26,N
"133 CURTIN AV, COTTESLOE",Non Strata,1090000,2015-05-13,N
"59 PEARSE ST, COTTESLOE",Non Strata,1580000,2011-02-03,Y
"131 CURTIN AV, COTTESLOE",Non Strata,790000,2006-01-20,N
"135 CURTIN AV, COTTESLOE",Non Strata,1700000,2016-06-08,N
"59 PEARSE ST, COTTESLOE",Non Strata,1580000,2011-02-03,Y
"137 CURTIN AV, COTTESLOE",Non Strata,1900000,2007-10-05,Y
"61 PEARSE ST, COTTESLOE",Strata,680000,2003-06-16,N
"64 PEARSE ST, COTTESLOE",Non Strata,1800000,2010-01-17,N
"68 PEARSE ST, COTTESLOE",Non Strata,1285000,2013-10-04,N
"11 WEBB ST, COTTESLOE",Non Strata,302500,1990-04-11,N
"48 PEARSE ST, COTTESLOE",Non Strata,1180000,2005-07-02,N
"9 WEBB ST, COTTESLOE",Non Strata,850000,1999-11-06,N
"46 PEARSE ST, COTTESLOE",Non Strata,2220000,2008-11-15,N
"44 PEARSE ST, COTTESLOE",Non Strata,550000,1996-10-05,N
"52 PEARSE ST, COTTESLOE",Non Strata,490000,1997-05-30,N
"21 WEBB ST, COTTESLOE",Non Strata,1835000,2008-12-22,N
"19 WEBB ST, COTTESLOE",Non Strata,700000,2004-07-22,N
"17 A WEBB ST, COTTESLOE",Non Strata,733000,1999-06-30,N
"5 LEXCEN CL, COTTESLOE",Non Strata,426700,2005-10-19,N
"7 LEXCEN CL, COTTESLOE",Non Strata,686500,2002-03-28,N
"153 CURTIN AV, COTTESLOE",Non Strata,360000,1999-02-03,Y
"9 LEXCEN CL, COTTESLOE",Non Strata,360000,1999-02-03,Y
"24 WEBB ST, COTTESLOE",Non Strata,465000,2000-05-09,N
"15 LEXCEN CL, COTTESLOE",Non Strata,240000,1993-06-27,N
"20 WEBB ST, COTTESLOE",Non Strata,1465000,2013-07-25,N
"22 WEBB ST, COTTESLOE",Non Strata,565000,2002-01-03,N
"16 A WEBB ST, COTTESLOE",Non Strata,1250000,2014-03-22,N
"8 WEBB ST, COTTESLOE",Non Strata,2710000,2011-10-23,N
"10 WEBB ST, COTTESLOE",Non Strata,485000,1994-07-30,N
"7 ROSSER ST, COTTESLOE",Non Strata,981000,1999-05-22,N
"13 ROSSER ST, COTTESLOE",Non Strata,1450000,2011-09-16,N
"15 A ROSSER ST, COTTESLOE",Non Strata,2000000,2009-02-09,N
"23 ROSSER ST, COTTESLOE",Non Strata,570000,1999-04-19,N
"17 ROSSER ST, COTTESLOE",Non Strata,1380000,2006-07-01,N
"21 ROSSER ST, COTTESLOE",Non Strata,2550000,2021-11-13,N
"19 ROSSER ST, COTTESLOE",Non Strata,162000,1990-09-15,N
"17 LEXCEN CL, COTTESLOE",Non Strata,1445000,2017-06-17,N
"19 LEXCEN CL, COTTESLOE",Non Strata,211000,1991-04-21,N
"21 LEXCEN CL, COTTESLOE",Non Strata,246500,1995-07-02,N
"23 LEXCEN CL, COTTESLOE",Non Strata,950000,2011-05-03,N
"25 LEXCEN CL, COTTESLOE",Non Strata,1015000,2008-06-03,N
"25 ROSSER ST, COTTESLOE",Non Strata,1050000,2012-11-07,N
"597 STIRLING HWY, COTTESLOE",Non Strata,250000,1995-09-19,Y
"31 D CURTIN AV, COTTESLOE",Non Strata,285000,1996-04-02,Y
"15 MACARTHUR ST, COTTESLOE",Non Strata,2525000,2013-09-14,N
"33 CURTIN AV, COTTESLOE",Non Strata,1220000,2015-01-09,N
"20 MACARTHUR ST, COTTESLOE",Vacant,1300000,2018-03-13,N
"22 MACARTHUR ST, COTTESLOE",Vacant,1050000,2020-01-15,N
"24 MACARTHUR ST, COTTESLOE",Non Strata,2200000,2010-11-08,N
"26 MACARTHUR ST, COTTESLOE",Non Strata,1945000,2020-01-02,N
"28 MACARTHUR ST, COTTESLOE",Non Strata,2800000,2012-04-03,N
"30 MACARTHUR ST, COTTESLOE",Non Strata,1270000,2017-06-07,N
"32 MACARTHUR ST, COTTESLOE",Non Strata,795000,2002-03-21,N
"19 WARTON ST, COTTESLOE",Non Strata,1352500,2004-01-31,N
"21 WARTON ST, COTTESLOE",Non Strata,2630000,2007-04-14,N
"3 BROOME ST, COTTESLOE",Non Strata,1750000,2014-10-14,N
"34 GIBNEY ST, COTTESLOE",Strata,2300000,2022-07-10,N
"1 BROOME ST, COTTESLOE",Vacant,1150000,2007-05-05,N
"3 A BROOME ST, COTTESLOE",Non Strata,1865000,2019-09-20,N
"9 BROOME ST, COTTESLOE",Non Strata,460000,1996-10-16,N
"7 BROOME ST, COTTESLOE",Non Strata,360000,1991-06-26,N
"5 BROOME ST, COTTESLOE",Vacant,178000,1991-04-23,N
"30 GIBNEY ST, COTTESLOE",Non Strata,1350000,2004-06-07,N
"32 GIBNEY ST, COTTESLOE",Non Strata,1000000,2004-11-04,N
"28 GIBNEY ST, COTTESLOE",Non Strata,1625000,2015-12-01,N
"24 GIBNEY ST, COTTESLOE",Non Strata,25000,1990-06-27,N
"15 C BEACH ST, COTTESLOE",Non Strata,272000,1988-09-05,Y
"16 B GIBNEY ST, COTTESLOE",Vacant,1000000,2018-01-22,N
"16 A GIBNEY ST, COTTESLOE",Vacant,1250000,2018-02-26,N
"13 A BEACH ST, COTTESLOE",Strata,2100000,2015-09-23,N
"1 A BEACH ST, COTTESLOE",Non Strata,8375000,2018-07-07,N
"5 BEACH ST, COTTESLOE",Non Strata,3800000,2019-05-28,N
"11 BEACH ST, COTTESLOE",Non Strata,4400000,2010-08-09,N
"7 BEACH ST, COTTESLOE",Non Strata,5395000,2021-10-03,N
"6 GIBNEY ST, COTTESLOE",Non Strata,5250000,2017-11-08,N
"44 MARINE PDE, COTTESLOE",Non Strata,5760000,2011-11-20,N
"46 A MARINE PDE, COTTESLOE",Strata,1730000,2016-12-08,N
"1 F AVONMORE TCE, COTTESLOE",Vacant,10000,2000-12-07,N
"42 C MARINE PDE, COTTESLOE",Strata,3000000,2019-05-29,N
"1/2 GIBNEY ST, COTTESLOE",Strata,1318000,2016-09-23,N
"15 A WARTON ST, COTTESLOE",Non Strata,550000,1992-01-20,Y
"15 WARTON ST, COTTESLOE",Non Strata,550000,1992-01-20,Y
"9 WARTON ST, COTTESLOE",Non Strata,1950000,2013-02-14,N
"1 WARTON ST, COTTESLOE",Strata,2150000,2022-12-23,N
"1 D WARTON ST, COTTESLOE",Non Strata,6000000,2018-01-06,N
"1 C WARTON ST, COTTESLOE",Vacant,1550000,2012-02-21,N
"38 C MARINE PDE, COTTESLOE",Non Strata,4300000,2020-10-03,N
"7 WARTON ST, COTTESLOE",Non Strata,2210000,2020-01-08,N
"1/8 MACARTHUR ST, COTTESLOE",Strata,765000,2018-05-16,N
"11 WARTON ST, COTTESLOE",Non Strata,2670000,2017-01-15,N
"14 MACARTHUR ST, COTTESLOE",Non Strata,1700000,2012-03-02,N
"11 A MACARTHUR ST, COTTESLOE",Non Strata,2700000,2021-09-11,N
"11 B MACARTHUR ST, COTTESLOE",Non Strata,420000,2019-01-11,N
"31 B CURTIN AV, COTTESLOE",Non Strata,1230000,2013-06-21,Y
"11 MACARTHUR ST, COTTESLOE",Vacant,365000,1997-07-31,N
"7 MACARTHUR ST, COTTESLOE",Non Strata,2750000,2021-05-03,N
"9 MACARTHUR ST, COTTESLOE",Non Strata,1980000,2019-09-23,N
"28 MARINE PDE, COTTESLOE",Non Strata,795000,1996-01-11,Y
"30 MARINE PDE, COTTESLOE",Non Strata,5200000,2011-09-08,N
"28 A MARINE PDE, COTTESLOE",Vacant,795000,1996-01-11,Y
"32 MARINE PDE, COTTESLOE",Non Strata,2700000,2013-11-18,N
"2 MARINE PDE, COTTESLOE",Non Strata,2150000,2015-06-25,N
"3 CURTIN AV, COTTESLOE",Non Strata,1040000,2003-05-03,N
"11 CURTIN AV, COTTESLOE",Vacant,360000,1996-02-12,Y
"13 CURTIN AV, COTTESLOE",Vacant,220000,1998-06-28,N
"15 CURTIN AV, COTTESLOE",Non Strata,2050000,2020-11-04,N
"17 CURTIN AV, COTTESLOE",Vacant,328000,1994-05-24,N
"14 A MARINE PDE, COTTESLOE",Non Strata,270000,1996-06-17,N
"12 MARINE PDE, COTTESLOE",Non Strata,2565000,2013-10-26,N
"10 MARINE PDE, COTTESLOE",Non Strata,2610000,2019-08-08,N
"8 MARINE PDE, COTTESLOE",Non Strata,2300000,2019-03-26,N
"3 MACARTHUR ST, COTTESLOE",Non Strata,2479500,2021-11-08,N
"1 MACARTHUR ST, COTTESLOE",Non Strata,2650000,2018-04-26,N
"22 MARINE PDE, COTTESLOE",Non Strata,6200000,2022-05-17,N
"20 MARINE PDE, COTTESLOE",Non Strata,3500000,2006-11-09,Y
"20 A MARINE PDE, COTTESLOE",Non Strata,3500000,2006-11-09,Y
"18 MARINE PDE, COTTESLOE",Non Strata,2800000,2017-02-18,N
"16 MARINE PDE, COTTESLOE",Non Strata,3000000,2020-11-24,N
"7 SYDNEY ST, COTTESLOE",Non Strata,480000,1989-10-06,Y
"7 SYDNEY ST, COTTESLOE",Non Strata,480000,1989-10-06,Y
"21 CURTIN AV, COTTESLOE",Non Strata,1271000,2019-11-25,N
"2 B SYDNEY ST, COTTESLOE",Strata,1030000,2015-04-03,N
"8 SYDNEY ST, COTTESLOE",Non Strata,2800000,2016-10-25,N
"29 CURTIN AV, COTTESLOE",Non Strata,1125000,2016-11-29,N
"6 SYDNEY ST, COTTESLOE",Non Strata,675000,1998-09-24,N
"27 CURTIN AV, COTTESLOE",Non Strata,240000,1995-02-02,N
"110 NAPIER ST, COTTESLOE",Non Strata,546000,2004-03-27,N
"105 NAPIER ST, COTTESLOE",Non Strata,1375000,2010-04-21,N
"493 STIRLING HWY, COTTESLOE",Non Strata,45000,1982-05-31,N
"561 STIRLING HWY, COTTESLOE",Non Strata,1100000,2003-06-11,N
"3/569 STIRLING HWY, COTTESLOE",Strata,558000,2021-03-27,N
"23 NAPOLEON ST, COTTESLOE",Non Strata,600000,2021-03-31,N
"29 NAPOLEON ST, COTTESLOE",Non Strata,950000,2002-11-28,N
"31 NAPOLEON ST, COTTESLOE",Non Strata,1490000,2002-08-14,N
"557 STIRLING HWY, COTTESLOE",Non Strata,340000,2001-05-04,N
"33 NAPOLEON ST, COTTESLOE",Non Strata,750000,2000-06-28,N
"533 STIRLING HWY, COTTESLOE",Vacant,2200000,2020-11-12,N
"22 STATION ST, COTTESLOE",Vacant,250000,1993-04-14,N
"529 STIRLING HWY, COTTESLOE",Non Strata,11800000,2023-04-11,N
"7/105 FORREST ST, COTTESLOE",Strata,745000,2022-06-30,N
"109 FORREST ST, COTTESLOE",Vacant,2650000,2023-08-04,N
"105 FORREST ST, COTTESLOE",Non Strata,865000,1996-04-16,N
"2/99 FORREST ST, COTTESLOE",Strata,795000,2006-09-04,N
"6/91 FORREST ST, COTTESLOE",Strata,1100000,2023-02-24,N
"4/89 FORREST ST, COTTESLOE",Strata,580000,2020-11-27,N
"16 A STATION ST, COTTESLOE",Non Strata,930000,2003-01-23,Y
"16 STATION ST, COTTESLOE",Non Strata,930000,2003-01-23,Y
"19 STATION ST, COTTESLOE",Non Strata,1300000,2008-10-17,N
"535 STIRLING HWY, COTTESLOE",Non Strata,1896028,2020-02-01,N
"40 NAPOLEON ST, COTTESLOE",Non Strata,20,2014-05-21,N
"38 NAPOLEON ST, COTTESLOE",Non Strata,13350,2003-04-16,Y
"36 NAPOLEON ST, COTTESLOE",Non Strata,2266000,2017-03-22,Y
"32-34 NAPOLEON ST, COTTESLOE",Non Strata,530000,2022-11-10,N
"32-34 NAPOLEON ST, COTTESLOE",Non Strata,530000,2022-11-10,N
"22 NAPOLEON ST, COTTESLOE",Non Strata,12600,2003-04-16,Y
"2-6 NAPOLEON ST, COTTESLOE",Non Strata,3450000,2003-06-30,Y
"2-6 NAPOLEON ST, COTTESLOE",Non Strata,3450000,2003-06-30,Y
"11 STATION ST, COTTESLOE",Non Strata,11000000,2019-10-28,N
"1 STATION ST, COTTESLOE",Non Strata,2750000,2007-09-15,N
"7 STATION ST, COTTESLOE",Non Strata,11000000,2019-10-28,N
"2/85 FORREST ST, COTTESLOE",Strata,450000,2022-01-14,N
"203 CURTIN AV, COTTESLOE",Non Strata,2100000,2022-07-06,N
"207 CURTIN AV, COTTESLOE",Strata,900000,2013-11-14,N
"79 FORREST ST, COTTESLOE",Non Strata,690000,2001-02-06,N
"75 FORREST ST, COTTESLOE",Non Strata,2275000,2018-10-23,N
"77 FORREST ST, COTTESLOE",Non Strata,650000,2002-08-31,N
"205 CURTIN AV, COTTESLOE",Strata,835000,2008-12-15,N
"73 FORREST ST, COTTESLOE",Non Strata,2225000,2015-01-19,N
"69 FORREST ST, COTTESLOE",Non Strata,3500000,2023-05-05,N
"71 FORREST ST, COTTESLOE",Non Strata,3227000,2023-07-06,N
"67 FORREST ST, COTTESLOE",Non Strata,2160000,2012-04-23,N
"18 B BARSDEN ST, COTTESLOE",Strata,1710000,2014-06-17,N
"15 A BARSDEN ST, COTTESLOE",Non Strata,30769,1998-03-31,N
"15 BARSDEN ST, COTTESLOE",Non Strata,4520000,2012-03-07,Y
"13 BARSDEN ST, COTTESLOE",Non Strata,4520000,2012-03-07,Y
"11 B BARSDEN ST, COTTESLOE",Strata,4000000,2022-09-29,N
"14 B BARSDEN ST, COTTESLOE",Non Strata,1600000,2007-11-14,N
"12 BARSDEN ST, COTTESLOE",Strata,1200000,2015-07-19,N
"16 BARSDEN ST, COTTESLOE",Non Strata,2850000,2018-11-16,N
"14 A BARSDEN ST, COTTESLOE",Non Strata,1780000,2020-02-04,N
"201 A CURTIN AV, COTTESLOE",Strata,1500000,2010-11-15,N
"199 A CURTIN AV, COTTESLOE",Non Strata,1700000,2015-11-18,N
"199 CURTIN AV, COTTESLOE",Non Strata,2225000,2023-02-20,N
"2 FINEY ST, COTTESLOE",Strata,1100000,2010-08-11,N
"4 FINEY ST, COTTESLOE",Vacant,1150000,2019-09-10,N
"1 FINEY ST, COTTESLOE",Non Strata,1025000,2001-12-04,N
"193 CURTIN AV, COTTESLOE",Non Strata,800000,2003-04-05,N
"6 BARSDEN ST, COTTESLOE",Strata,2300000,2008-01-12,N
"8 BARSDEN ST, COTTESLOE",Non Strata,1200000,1999-12-23,N
"11 A BARSDEN ST, COTTESLOE",Strata,2500000,2017-10-19,N
"11 BARSDEN ST, COTTESLOE",Non Strata,1500000,2004-10-26,N
"7 BARSDEN ST, COTTESLOE",Non Strata,415000,1991-11-08,N
"5 BARSDEN ST, COTTESLOE",Non Strata,4350000,2018-08-15,N
"3 BARSDEN ST, COTTESLOE",Non Strata,2275000,2012-11-14,N
"18 A JARRAD ST, COTTESLOE",Strata,1425000,2009-04-29,N
"16 JARRAD ST, COTTESLOE",Strata,1730000,2019-05-08,N
"28 JARRAD ST, COTTESLOE",Strata,1285000,2015-10-06,N
"28 JARRAD ST, COTTESLOE",Non Strata,510000,2001-04-06,N
"28 A JARRAD ST, COTTESLOE",Vacant,280000,2001-11-06,N
"26 JARRAD ST, COTTESLOE",Non Strata,2480000,2021-08-07,N
"24 JARRAD ST, COTTESLOE",Non Strata,520000,1999-09-02,N
"20 JARRAD ST, COTTESLOE",Non Strata,542500,1998-12-04,N
"22 JARRAD ST, COTTESLOE",Non Strata,635000,1999-09-30,N
"191 CURTIN AV, COTTESLOE",Strata,1550000,2021-05-11,N
"189 CURTIN AV, COTTESLOE",Strata,1395000,2020-11-19,N
"1-7 NAPOLEON ST, COTTESLOE",Non Strata,4825000,2022-05-17,N
"19 NAPOLEON ST, COTTESLOE",Non Strata,3000000,2021-11-18,N
"9 NAPOLEON ST, COTTESLOE",Non Strata,1430000,2002-10-25,N
"13 NAPOLEON ST, COTTESLOE",Non Strata,3720000,2021-11-18,N
"5/30 JARRAD ST, COTTESLOE",Strata,735000,2022-11-09,N
"36 JARRAD ST, COTTESLOE",Non Strata,2000000,2017-09-29,N
"40 JARRAD ST, COTTESLOE",Non Strata,10000000,2017-09-29,Y
"42 JARRAD ST, COTTESLOE",Non Strata,2000000,2017-09-29,N
"40 A JARRAD ST, COTTESLOE",Non Strata,10000000,2017-09-29,Y
"571 STIRLING HWY, COTTESLOE",Non Strata,9300,2006-07-03,Y
"35 JARRAD ST, COTTESLOE",Non Strata,2772000,2021-11-30,N
